seed,phase,full_reward,isolation_reward,reward_difference,recovery_difference,accuracy_difference,post_risk_difference,same_selected_arm_episodes,different_selected_arm_episodes,first_selected_arm_difference_episode,first_10_reward_difference,last_90_reward_difference,full_arm_counts,isolation_arm_counts,full_updates_before_D,isolation_updates_before_D,full_updates_after_D,isolation_updates_after_D,full_cumulative_reward_at_D_start,isolation_cumulative_reward_at_D_start
20260821,C,0.260586278685588,0.2643723106208389,0.0037860319352508998,0.0,0.0,0.0006114129727637918,33,67,1,0.012224115778308065,0.002848467063800042,"{""light"": 34, ""medium"": 32, ""strong"": 34}","{""light"": 39, ""medium"": 32, ""strong"": 29}",0,100,100,200,0.0,33.442074224495855
20260822,C,0.22920267991171706,0.21572668347283752,-0.013475996438879534,-0.020000000000000018,-0.020000000000000018,0.0006614971789086765,43,57,6,0.014642797412022623,-0.016600306866757536,"{""light"": 42, ""medium"": 28, ""strong"": 30}","{""light"": 33, ""medium"": 35, ""strong"": 32}",0,100,100,200,0.0,25.519601137696956
20260823,C,0.2890483989671221,0.2949106910559262,0.005862292088804122,0.010000000000000009,0.010000000000000009,-0.0011178603489172545,37,63,1,0.08072639064489046,-0.002455941084094193,"{""light"": 42, ""medium"": 26, ""strong"": 32}","{""light"": 41, ""medium"": 29, ""strong"": 30}",0,100,100,200,0.0,31.11644622686331
20260824,C,0.2522238263166989,0.26862717917276085,0.01640335285606198,0.019999999999999907,0.019999999999999907,-0.008704231084361969,31,69,1,0.03983640420487833,0.0137996804839714,"{""light"": 40, ""medium"": 34, ""strong"": 26}","{""light"": 47, ""medium"": 27, ""strong"": 26}",0,100,100,200,0.0,29.88162128382501
20260825,C,0.25505805908283713,0.2675195515531134,0.01246149247027628,0.029999999999999916,0.030000000000000027,0.0001633540161310454,40,60,8,0.05362688667257101,0.007887559781132425,"{""light"": 41, ""medium"": 32, ""strong"": 27}","{""light"": 37, ""medium"": 35, ""strong"": 28}",0,100,100,200,0.0,25.043502811708173
20260826,C,0.249543622172535,0.25759073526108534,0.008047113088550328,0.010000000000000009,0.009999999999999898,-0.004397511867829218,38,62,1,0.01050563469732152,0.007773944020909196,"{""light"": 41, ""medium"": 26, ""strong"": 33}","{""light"": 40, ""medium"": 32, ""strong"": 28}",0,100,100,200,0.0,29.18102966123022
20260827,C,0.276804753646274,0.2846169223731639,0.00781216872688989,0.010000000000000009,0.0,0.00021336332303079075,39,61,1,-0.03560122059584306,0.012635878651637955,"{""light"": 38, ""medium"": 31, ""strong"": 31}","{""light"": 32, ""medium"": 45, ""strong"": 23}",0,100,100,200,0.0,30.403397161256827
20260828,C,0.2576701278300374,0.2565595349453674,-0.0011105928846700253,0.0,0.0,0.001478136253726059,31,69,2,-0.0859126633291637,0.008311859386940151,"{""light"": 36, ""medium"": 33, ""strong"": 31}","{""light"": 33, ""medium"": 38, ""strong"": 29}",0,100,100,200,0.0,28.395528244348593
20260829,C,0.29451699106070683,0.3006781864696935,0.006161195408986686,0.010000000000000009,0.010000000000000009,-0.004646210721126587,38,62,1,-0.023441525327195067,0.009450386601895677,"{""light"": 32, ""medium"": 38, ""strong"": 30}","{""light"": 29, ""medium"": 38, ""strong"": 33}",0,100,100,200,0.0,27.107407122009924
20260830,C,0.2510928793446985,0.253963027507795,0.0028701481630964976,0.010000000000000009,0.009999999999999898,-0.002784812318115615,31,69,2,0.021457350596115476,0.000804903448316574,"{""light"": 42, ""medium"": 31, ""strong"": 27}","{""light"": 35, ""medium"": 36, ""strong"": 29}",0,100,100,200,0.0,31.04028784559481
